Comment,Designator,Footprint,LCSC
100k,"R17,R19,R2,R4",R_0402_1005Metric,C106234
470n,C13,C_0402_1005Metric,C106255
47u,"C17,C32",CP_EIA-3216-18_Kemet-A,C139817
1k,"R16,R18,R3,R5,R6,R8,R9",R_0402_1005Metric,C140196
10u,C29,C_0402_1005Metric,C15525
1u,"C10,C11,C22,C23,C33,C7",C_0402_1005Metric,C15684
AP6683,U1,OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm,C2843221
SW_Push,"SW1,SW2",5.2mm x 3.35mm Tactile Switch,C2888427
SI2302,Q2,SOT-23,C2891732
1.25mm Push-Pull 1x2,"BAT1,BAT2",1.25-2PWB DEALON,C2905009
L,"L1,R12,R13,R14",L_0402_1005Metric,C2906877
TP733xx,U3,OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm,C2923371
QMI8658,U7,QMI8658,C3021082
L80RE-M37,U6,XCVR_L80RE-M37,C3029061
4.7u,"C12,C14,C19,C24",C_0402_1005Metric,C307423
AO3401,Q1,SOT-23,C347476
QMC6308,U5,QMC6308,C462705
15u,L2,L_0805_2012Metric,C486333
U.FL,ANT2,U.FL_Hirose_U.FL-R-SMT-1_Vertical,C5137195
100n,"C16,C18,C20,C21,C26,C27,C28,C3,C30,C31,C4,C5,C6,C8,C9",C_0402_1005Metric,C541406
10k,"R11,R15",R_0402_1005Metric,C60489
BAS516,D3,D_SOD-523,C699078
915MHz,ANT1,TestPoint_THTPad_D2.0mm_Drill1.0mm,C726086
UHE4913,U4,SOT-23,C86815
MLT-8530,BZ1,MagneticBuzzer_8530_SMD,C94599
RED,D1,LED_0603_1608Metric,C965799
GREEN,D2,LED_0603_1608Metric,C965804
RAK3172-SiP,U2,RAK3172-SiP,
